Run 2,Run 2,Run 2,Run 2,Run 2
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
0,-8.9,-0.1,-4.6,10
0.01,-8.9,-0.1,-4.6,10
0.02,-8.9,-0.1,-4.6,10
0.03,-8.9,-0.1,-4.6,10
0.04,-8.9,-0.1,-4.6,10
0.05,-8.9,-0.1,-4.6,10
0.06,-8.9,-0.1,-4.6,10
0.07,-8.6,0,-4.8,9.9
0.08,-8.6,0,-4.8,9.9
0.09,-8.6,0,-4.8,9.9
0.1,-8.6,0,-4.8,9.9
0.11,-8.6,0,-4.8,9.9
0.12,-8.7,0.1,-4.9,10
0.13,-8.7,0.1,-4.9,10
0.14,-8.7,0.1,-4.9,10
0.15,-8.7,0.1,-4.9,10
0.16,-8.5,1.50E-04,-4.9,9.8
0.17,-8.5,1.50E-04,-4.9,9.8
0.18,-8.5,1.50E-04,-4.9,9.8
0.19,-8.5,1.50E-04,-4.9,9.8
0.2,-8.7,0.1,-4.8,10
0.21,-8.7,0.1,-4.8,10
0.22,-8.7,0.1,-4.8,10
0.23,-8.6,0.1,-4.9,9.9
0.24,-8.6,0.1,-4.9,9.9
0.25,-8.6,0.1,-4.9,9.9
0.26,-8.6,0.1,-4.9,9.9
0.27,-8.6,0.1,-4.9,9.9
0.28,-8.5,0,-4.9,9.8
0.29,-8.5,0,-4.9,9.8
0.3,-8.6,0,-4.9,9.9
0.31,-8.6,0,-4.9,9.9
0.32,-8.6,0,-4.9,9.9
0.33,-8.6,0,-4.9,9.9
0.34,-8.6,0,-5,9.9
0.35,-8.6,0,-5,9.9
0.36,-8.6,0,-5,9.9
0.37,-8.6,0,-5,9.9
0.38,-8.6,0,-5,9.9
0.39,-8.8,0,-4.9,10
0.4,-8.8,0,-4.9,10
0.41,-8.8,0,-4.9,10
0.42,-8.8,0,-4.9,10
0.43,-8.8,0,-4.9,10
0.44,-8.7,0.1,-4.9,10
0.45,-8.7,0.1,-4.9,10
0.46,-8.7,0.1,-4.9,10
0.47,-8.7,0.1,-4.9,10
0.48,-8.7,0.1,-4.9,10
0.49,-8.6,0.1,-4.8,9.9
0.5,-8.6,0.1,-4.8,9.9
0.51,-8.6,0.1,-4.8,9.9
0.52,-8.6,0.1,-4.8,9.9
0.53,-8.6,0.1,-4.8,9.9
0.54,-8.6,0.1,-4.9,9.9
0.55,-8.6,0.1,-4.9,9.9
0.56,-8.6,0.1,-4.9,9.9
0.57,-8.6,0.1,-4.9,9.9
0.58,-8.6,0.1,-4.9,9.9
0.59,-8.6,0.1,-4.9,9.9
0.6,-8.6,0.1,-4.9,9.9
0.61,-8.7,0.1,-4.8,9.9
0.62,-8.7,0.1,-4.8,9.9
0.63,-8.7,0.1,-4.8,9.9
0.64,-8.7,0.1,-4.8,9.9
0.65,-8.6,0,-4.9,9.9
0.66,-8.6,0,-4.9,9.9
0.67,-8.6,0,-4.9,9.9
0.68,-8.6,0,-4.9,9.9
0.69,-8.6,0,-4.9,9.9
0.7,-8.7,0.1,-4.8,9.9
0.71,-8.7,0.1,-4.8,9.9
0.72,-8.7,0.1,-4.8,9.9
0.73,-8.7,0.1,-4.8,9.9
0.74,-8.5,-0.1,-5.1,9.9
0.75,-8.5,-0.1,-5.1,9.9
0.76,-8.5,-0.1,-5.1,9.9
0.77,-8.6,-0.5,-5.2,10
0.78,-8.6,-0.5,-5.2,10
0.79,-8.6,-0.5,-5.2,10
0.8,-8.6,-0.5,-5.2,10
0.81,-8.6,-0.5,-5.2,10
0.82,-8.5,-0.5,-4.9,9.8
0.83,-8.5,-0.5,-4.9,9.8
0.84,-8.5,-0.8,-5.1,9.9
0.85,-8.5,-0.8,-5.1,9.9
0.86,-8.5,-0.8,-5.1,9.9
0.87,-8.5,-0.8,-5.1,9.9
0.88,-8.6,-0.8,-5,10
0.89,-8.6,-0.8,-5,10
0.9,-8.6,-0.8,-5,10
0.91,-8.6,-0.8,-5,10
0.92,-8.6,-0.8,-5,10
0.93,-8.3,-1.2,-4.9,9.7
0.94,-8.3,-1.2,-4.9,9.7
0.95,-8.3,-1.2,-4.9,9.7
0.96,-8.3,-1.2,-4.9,9.7
0.97,-8.6,-0.7,-4.8,9.9
0.98,-8.6,-0.7,-4.8,9.9
0.99,-8.6,-0.7,-4.8,9.9
1,-8.6,-0.7,-4.8,9.9
1.01,-8.6,-0.7,-4.8,9.9
1.02,-8.7,0.2,-4.5,9.8
1.03,-8.7,0.2,-4.5,9.8
1.04,-8.7,0.2,-4.5,9.8
1.05,-8.7,0.2,-4.5,9.8
1.06,-8.7,0.2,-4.5,9.8
1.07,-8.9,0.2,-4.8,10.1
1.08,-8.9,0.2,-4.8,10.1
1.09,-9.2,0.9,-4.8,10.4
1.1,-9.2,0.9,-4.8,10.4
1.11,-9.2,0.9,-4.8,10.4
1.12,-9.2,0.9,-4.8,10.4
1.13,-9.2,0.9,-4.8,10.4
1.14,-8.1,2.4,-5.3,10
1.15,-8.1,2.4,-5.3,10
1.16,-8.1,2.4,-5.3,10
1.17,-8.1,2.4,-5.3,10
1.18,-8.1,2.4,-5.3,10
1.19,-8.6,1,-4.6,9.8
1.2,-8.6,1,-4.6,9.8
1.21,-8.6,1,-4.6,9.8
1.22,-8.6,1,-4.6,9.8
1.23,-8.6,1,-4.6,9.8
1.24,-8.3,1.6,-4.5,9.6
1.25,-8.3,1.6,-4.5,9.6
1.26,-8.3,1.6,-4.5,9.6
1.27,-8.3,1.6,-4.5,9.6
1.28,-8.4,0.4,-4.9,9.7
1.29,-8.4,0.4,-4.9,9.7
1.3,-8.4,0.4,-4.9,9.7
1.31,-8.4,0.4,-4.9,9.7
1.32,-8.9,1.1,-4.9,10.2
1.33,-8.9,1.1,-4.9,10.2
1.34,-8.9,1.1,-4.9,10.2
1.35,-8.9,1.1,-4.9,10.2
1.36,-8.9,1,-4.6,10.1
1.37,-8.9,1,-4.6,10.1
1.38,-8.9,1,-4.6,10.1
1.39,-8.9,1,-4.6,10.1
1.4,-8.9,1,-4.6,10.1
1.41,-9.3,0.8,-5.7,10.9
1.42,-9.3,0.8,-5.7,10.9
1.43,-9.3,0.8,-5.7,10.9
1.44,-9.3,0.8,-5.7,10.9
1.45,-9.3,0.8,-5.7,10.9
1.46,-8.5,-1.6,-5.3,10.1
1.47,-8.5,-1.6,-5.3,10.1
1.48,-8.5,-1.6,-5.3,10.1
1.49,-8.5,-1.6,-5.3,10.1
1.5,-8.5,-1.6,-5.3,10.1
1.51,-7.3,1.7,-6.5,9.9
1.52,-7.3,1.7,-6.5,9.9
1.53,-7.3,1.7,-6.5,9.9
1.54,-7.3,1.7,-6.5,9.9
1.55,-7.3,1.7,-6.5,9.9
1.56,-6.9,0.9,-7.5,10.2
1.57,-6.9,0.9,-7.5,10.2
1.58,-8.5,1.2,-8.9,12.4
1.59,-8.5,1.2,-8.9,12.4
1.6,-8.5,1.2,-8.9,12.4
1.61,-8.5,1.2,-8.9,12.4
1.62,-8.8,-0.2,-6.9,11.1
1.63,-8.8,-0.2,-6.9,11.1
1.64,-8.8,-0.2,-6.9,11.1
1.65,-8.8,-0.2,-6.9,11.1
1.66,-8.8,-0.2,-6.9,11.1
1.67,-6.8,-1,-5.2,8.7
1.68,-6.8,-1,-5.2,8.7
1.69,-6.8,-1,-5.2,8.7
1.7,-6.8,-1,-5.2,8.7
1.71,-6.8,-1,-5.2,8.7
1.72,-8,-2.6,-2.8,8.9
1.73,-8,-2.6,-2.8,8.9
1.74,-8,-2.6,-2.8,8.9
1.75,-8,-2.6,-2.8,8.9
1.76,-8,-5.2,-4.2,10.4
1.77,-8,-5.2,-4.2,10.4
1.78,-8,-5.2,-4.2,10.4
1.79,-8,-5.2,-4.2,10.4
1.8,-8,-5.2,-4.2,10.4
1.81,-8.4,-4.5,-4.2,10.5
1.82,-8.4,-4.5,-4.2,10.5
1.83,-9.9,-7.4,-1.1,12.4
1.84,-9.9,-7.4,-1.1,12.4
1.85,-9.9,-7.4,-1.1,12.4
1.86,-9.9,-7.4,-1.1,12.4
1.87,-9.9,-7.4,-1.1,12.4
1.88,-8.7,-3.8,-3,10
1.89,-8.7,-3.8,-3,10
1.9,-8.7,-3.8,-3,10
1.91,-7.3,-2.5,-3.1,8.3
1.92,-7.3,-2.5,-3.1,8.3
1.93,-5.4,-4.4,-1.6,7.2
1.94,-5.4,-4.4,-1.6,7.2
1.95,-5.4,-4.4,-1.6,7.2
1.96,-5.4,-4.4,-1.6,7.2
1.97,-5.2,-6.7,-1.4,8.6
1.98,-5.2,-6.7,-1.4,8.6
1.99,-5.2,-6.7,-1.4,8.6
2,-5.2,-6.7,-1.4,8.6
2.01,-5.2,-6.7,-1.4,8.6
2.02,-6.7,-6,-0.8,9
2.03,-13.3,-4.7,-1,14.1
2.04,-13.3,-4.7,-1,14.1
2.05,-13.3,-4.7,-1,14.1
2.06,-13.3,-4.7,-1,14.1
2.07,-13.3,-4.7,-1,14.1
2.08,-9.7,-4.2,-2.5,10.9
2.09,-9.7,-4.2,-2.5,10.9
2.1,-9.7,-4.2,-2.5,10.9
2.11,-9.7,-4.2,-2.5,10.9
2.12,-9.7,-4.2,-2.5,10.9
2.13,-10,-4,-1,10.8
2.14,-10,-4,-1,10.8
2.15,-10,-4,-1,10.8
2.16,-10,-4,-1,10.8
2.17,-10,-4,-1,10.8
2.18,-11.2,-2.2,-2,11.6
2.19,-11.2,-2.2,-2,11.6
2.2,-11.2,-2.2,-2,11.6
2.21,-11.2,-2.2,-2,11.6
2.22,-11.2,-2.2,-2,11.6
2.23,-10.2,-0.9,-2.4,10.5
2.24,-10.2,-0.9,-2.4,10.5
2.25,-10.2,-0.9,-2.4,10.5
2.26,-11.5,0.1,-3.3,12
2.27,-11.5,0.1,-3.3,12
2.28,-11.5,0.1,-3.3,12
2.29,-11.5,0.1,-3.3,12
2.3,-11.5,0.1,-3.3,12
2.31,-11,-1.9,-2,11.3
2.32,-11,-1.9,-2,11.3
2.33,-11,-1.9,-2,11.3
2.34,-7.3,-3,-3.6,8.7
2.35,-7.3,-3,-3.6,8.7
2.36,-7.3,-3,-3.6,8.7
2.37,-7.3,-3,-3.6,8.7
2.38,-7.3,-3,-3.6,8.7
2.39,-7.6,-2.1,-4,8.8
2.4,-7.6,-2.1,-4,8.8
2.41,-8.2,-3.5,-5.7,10.6
2.42,-8.2,-3.5,-5.7,10.6
2.43,-8.2,-3.5,-5.7,10.6
2.44,-8.2,-3.5,-5.7,10.6
2.45,-8.2,-3.5,-5.7,10.6
2.46,-10.3,-3.1,-5.8,12.2
2.47,-10.3,-3.1,-5.8,12.2
2.48,-10.3,-3.1,-5.8,12.2
2.49,-10.3,-3.1,-5.8,12.2
2.5,-10.3,-3.1,-5.8,12.2
2.51,-8.5,-4.5,-5.6,11.1
2.52,-8.5,-4.5,-5.6,11.1
2.53,-8.5,-4.5,-5.6,11.1
2.54,-8.5,-4.5,-5.6,11.1
2.55,-8.5,-4.5,-5.6,11.1
2.56,-10.3,-5,-4.8,12.4
2.57,-10.3,-5,-4.8,12.4
2.58,-10.3,-5,-4.8,12.4
2.59,-10.3,-5,-4.8,12.4
2.6,-9.6,-2.8,-5.4,11.3
2.61,-9.6,-2.8,-5.4,11.3
2.62,-9.6,-2.8,-5.4,11.3
2.63,-9.6,-2.8,-5.4,11.3
2.64,-9.6,-2.8,-5.4,11.3
2.65,-9.8,-3,-6.2,12
2.66,-9.8,-3,-6.2,12
2.67,-9.3,-1,-5.9,11
2.68,-9.3,-1,-5.9,11
2.69,-9.3,-1,-5.9,11
2.7,-9.3,-1,-5.9,11
2.71,-8.7,-0.9,-6.1,10.7
2.72,-8.8,-0.1,-5.6,10.5
2.73,-8.8,-0.1,-5.6,10.5
2.74,-8.8,-0.1,-5.6,10.5
2.75,-8.8,-0.1,-5.6,10.5
2.76,-8.8,-0.1,-5.6,10.5
2.77,-10,0.2,-4.9,11.1
2.78,-10,0.2,-4.9,11.1
2.79,-10,0.2,-4.9,11.1
2.8,-10,0.2,-4.9,11.1
2.81,-10,0.2,-4.9,11.1
2.82,-9.4,-0.4,-6.7,11.6
2.83,-9.4,-0.4,-6.7,11.6
2.84,-9.4,-0.4,-6.7,11.6
2.85,-9.4,-0.4,-6.7,11.6
2.86,-9.4,-0.4,-6.7,11.6
2.87,-9.8,-0.8,-7,12
2.88,-9,-0.1,-7.7,11.9
2.89,-9,-0.1,-7.7,11.9
2.9,-9,-0.1,-7.7,11.9
2.91,-9,-0.1,-7.7,11.9
2.92,-4.4,-1,-6.5,7.9
2.93,-4.4,-1,-6.5,7.9
2.94,-4.4,-1,-6.5,7.9
2.95,-4.4,-1,-6.5,7.9
2.96,-4.4,-1,-6.5,7.9
2.97,-3.2,-2.1,-7,8
2.98,-3.2,-2.1,-7,8
2.99,-3.2,-2.1,-7,8
3,-0.1,-3.2,-8.6,9.1
3.01,-0.1,-3.2,-8.6,9.1
3.02,-0.1,-3.2,-8.6,9.1
3.03,-0.1,-3.2,-8.6,9.1
3.04,-0.1,-3.2,-8.6,9.1
3.05,-4,0.8,-7.3,8.4
3.06,-4,0.8,-7.3,8.4
3.07,-4,0.8,-7.3,8.4
3.08,-4,0.8,-7.3,8.4
3.09,-5,0,-7.1,8.6
3.1,-5,0,-7.1,8.6
3.11,-5,0,-7.1,8.6
3.12,-5,0,-7.1,8.6
3.13,-5,0,-7.1,8.6
3.14,-1.4,0.5,-6.9,7.1
3.15,-1.4,0.5,-6.9,7.1
3.16,-1.4,0.5,-6.9,7.1
3.17,-1.4,0.5,-6.9,7.1
3.18,-1.4,3.4,-5.5,6.6
3.19,-1.4,3.4,-5.5,6.6
3.2,-1.4,3.4,-5.5,6.6
3.21,-1.4,3.4,-5.5,6.6
3.22,-1.4,3.4,-5.5,6.6
3.23,-3.2,2.5,-6.9,8
3.24,-3.2,2.5,-6.9,8
3.25,-3.2,2.5,-6.9,8
3.26,-3.9,4.8,-6.6,9
3.27,-3.9,4.8,-6.6,9
3.28,-3.9,4.8,-6.6,9
3.29,-3.9,4.8,-6.6,9
3.3,-3.9,4.8,-6.6,9
3.31,-3,9.2,-7.6,12.3
3.32,-3,9.2,-7.6,12.3
3.33,-3,9.2,-7.6,12.3
3.34,-3,9.2,-7.6,12.3
3.35,-2.2,8.4,-6.6,10.9
3.36,-2.2,8.4,-6.6,10.9
3.37,-2.2,8.4,-6.6,10.9
3.38,-2.2,8.4,-6.6,10.9
3.39,-1.2,6.1,-6.8,9.2
3.4,-1.2,6.1,-6.8,9.2
3.41,-1.2,6.1,-6.8,9.2
3.42,-1.2,6.1,-6.8,9.2
3.43,-1.6,6.9,-6.4,9.5
3.44,-1.6,6.9,-6.4,9.5
3.45,-1.6,6.9,-6.4,9.5
3.46,-1.6,6.9,-6.4,9.5
3.47,-4.3,6.3,-7,10.4
3.48,-4.3,6.3,-7,10.4
3.49,-4.3,6.3,-7,10.4
3.5,-4.3,6.3,-7,10.4
3.51,-4.3,6.3,-7,10.4
3.52,-3.2,6.7,-7,10.2
3.53,-3.2,6.7,-7,10.2
3.54,-3.2,6.7,-7,10.2
3.55,-3.2,6.7,-7,10.2
3.56,-5.2,2.4,-6.6,8.7
3.57,-5.2,2.4,-6.6,8.7
3.58,-5.2,2.4,-6.6,8.7
3.59,-5.2,2.4,-6.6,8.7
3.6,-5.2,2.4,-6.6,8.7
3.61,-6.2,2.8,-5.6,8.8
3.62,-6.2,2.8,-5.6,8.8
3.63,-6.2,2.8,-5.6,8.8
3.64,-6.2,2.8,-5.6,8.8
3.65,-6.2,2.8,-5.6,8.8
3.66,-6,2.8,-8.4,10.7
3.67,-6,2.8,-8.4,10.7
3.68,-6,2.8,-8.4,10.7
3.69,-6,2.8,-8.4,10.7
3.7,-6,2.8,-8.4,10.7
3.71,-6.3,2.3,-8.1,10.5
3.72,-8.1,-2.1,-8.1,11.6
3.73,-8.1,-2.1,-8.1,11.6
3.74,-8.1,-2.1,-8.1,11.6
3.75,-8.1,-2.1,-8.1,11.6
3.76,-8.1,-2.1,-8.1,11.6
3.77,-7.7,3.1,-9.8,12.8
3.78,-7.7,3.1,-9.8,12.8
3.79,-7.7,3.1,-9.8,12.8
3.8,-7.7,3.1,-9.8,12.8
3.81,-7.7,3.1,-9.8,12.8
3.82,-5.1,3.8,-9.4,11.3
3.83,-5.1,3.8,-9.4,11.3
3.84,-5.1,3.8,-9.4,11.3
3.85,-6.6,0.9,-7.8,10.3
3.86,-6.6,0.9,-7.8,10.3
3.87,-6.6,0.9,-7.8,10.3
3.88,-6.6,0.9,-7.8,10.3
3.89,-6.6,0.9,-7.8,10.3
3.9,-6.5,-0.2,-6.5,9.2
3.91,-6.5,-0.2,-6.5,9.2
3.92,-6.5,-0.2,-6.5,9.2
3.93,-6.5,-0.2,-6.5,9.2
3.94,-6.5,-0.2,-6.5,9.2
3.95,-7.8,-3.7,-6.7,10.9
3.96,-7.8,-3.7,-6.7,10.9
3.97,-7.8,-3.7,-6.7,10.9
3.98,-7.8,-3.7,-6.7,10.9
3.99,-5.9,-3,-6.5,9.3
4,-5.9,-3,-6.5,9.3
4.01,-5.9,-3,-6.5,9.3
4.02,-5.9,-3,-6.5,9.3
4.03,-5.9,-3,-6.5,9.3
4.04,-6.2,-1,-6.3,9
4.05,-6.2,-1,-6.3,9
4.06,-6.2,-1,-6.3,9
4.07,-6.2,-1,-6.3,9
4.08,-6.2,-1,-6.3,9
4.09,-6.7,-1,-6.6,9.5
4.1,-6.7,-1,-6.6,9.5
4.11,-6.7,-1,-6.6,9.5
4.12,-6.7,-1,-6.6,9.5
4.13,-6.7,-1,-6.6,9.5
4.14,-6,1.1,-8.3,10.3
4.15,-6,1.1,-8.3,10.3
4.16,-6,1.1,-8.3,10.3
4.17,-6,1.1,-8.3,10.3
4.18,-6,1.1,-8.3,10.3
4.19,-6.9,0.3,-7.8,10.4
4.2,-6.9,0.3,-7.8,10.4
4.21,-6.9,0.3,-7.8,10.4
4.22,-6.9,0.3,-7.8,10.4
4.23,-7.6,0.8,-7.1,10.4
4.24,-7.6,0.8,-7.1,10.4
4.25,-7.6,0.8,-7.1,10.4
4.26,-7.6,0.8,-7.1,10.4
4.27,-7.6,0.8,-7.1,10.4
4.28,-6,0.5,-6.7,9
4.29,-6,0.5,-6.7,9
4.3,-6,0.5,-6.7,9
4.31,-6,0.5,-6.7,9
4.32,-6,0.5,-6.7,9
4.33,-6.6,0.2,-6.8,9.5
4.34,-6.6,0.2,-6.8,9.5
4.35,-6.6,0.2,-6.8,9.5
4.36,-6.6,0.2,-6.8,9.5
4.37,-7.4,0.5,-6.8,10.1
4.38,-7.4,0.5,-6.8,10.1
4.39,-7.4,0.5,-6.8,10.1
4.4,-7.4,0.5,-6.8,10.1
4.41,-8.2,-0.2,-6.4,10.4
4.42,-8.2,-0.2,-6.4,10.4
4.43,-8.2,-0.2,-6.4,10.4
4.44,-8.2,-0.2,-6.4,10.4
4.45,-5.8,4.4,-7.6,10.6
4.46,-5.8,4.4,-7.6,10.6
4.47,-5.8,4.4,-7.6,10.6
4.48,-5.8,4.4,-7.6,10.6
4.49,-5.8,4.4,-7.6,10.6
4.5,-5.1,4.9,-8.4,10.9
4.51,-5.1,4.9,-8.4,10.9
4.52,-5.1,4.9,-8.4,10.9
4.53,-5.1,4.9,-8.4,10.9
4.54,-5.1,4.9,-8.4,10.9
4.55,-4.6,3.2,-9.4,11
4.56,-4.6,3.2,-9.4,11
4.57,-4.6,3.2,-9.4,11
4.58,-4.6,3.2,-9.4,11
4.59,-4.6,3.2,-9.4,11
4.6,-2.9,3.5,-8.1,9.2
4.61,-2.9,3.5,-8.1,9.2
4.62,-2.9,3.5,-8.1,9.2
4.63,-2.9,3.5,-8.1,9.2
4.64,-5.6,2.9,-4.5,7.8
4.65,-5.6,2.9,-4.5,7.8
4.66,-5.6,2.9,-4.5,7.8
4.67,-5.6,2.9,-4.5,7.8
4.68,-5.6,2.9,-4.5,7.8
4.69,-7.3,5.5,-5.1,10.5
4.7,-7.3,5.5,-5.1,10.5
4.71,-7.3,5.5,-5.1,10.5
4.72,-7.3,5.5,-5.1,10.5
4.73,-5.7,6.1,-5.9,10.2
4.74,-5.7,6.1,-5.9,10.2
4.75,-5.7,6.1,-5.9,10.2
4.76,-5.7,6.1,-5.9,10.2
4.77,-5.7,6.1,-5.9,10.2
4.78,-7.5,2.5,-6,9.9
4.79,-7.5,2.5,-6,9.9
4.8,-7.5,2.5,-6,9.9
4.81,-7.5,2.5,-6,9.9
4.82,-7.5,2.5,-6,9.9
4.83,-9.2,0.2,-8.6,12.7
4.84,-9.2,0.2,-8.6,12.7
4.85,-9.2,0.2,-8.6,12.7
4.86,-7.6,-0.9,-9.6,12.3
4.87,-7.6,-0.9,-9.6,12.3
4.88,-7.6,-0.9,-9.6,12.3
4.89,-7.6,-0.9,-9.6,12.3
4.9,-7.6,-0.9,-9.6,12.3
4.91,-7.9,2.5,-8.4,11.8
4.92,-7.9,2.5,-8.4,11.8
4.93,-7.9,2.5,-8.4,11.8
4.94,-7.9,2.5,-8.4,11.8
4.95,-6.1,4.6,-6.1,9.8
4.96,-6.1,4.6,-6.1,9.8
4.97,-6.1,4.6,-6.1,9.8
4.98,-6.1,4.6,-6.1,9.8
4.99,-7.1,-1,-4.8,8.6
5,-7.1,-1,-4.8,8.6
5.01,-7.1,-1,-4.8,8.6
5.02,-7.1,-1,-4.8,8.6
5.03,-7.1,-1,-4.8,8.6
5.04,-7.2,1.4,-6.3,9.7
5.05,-7.2,1.4,-6.3,9.7
5.06,-7.2,1.4,-6.3,9.7
5.07,-7.2,1.4,-6.3,9.7
5.08,-6.6,0.5,-7.4,9.9
5.09,-6.6,0.5,-7.4,9.9
5.1,-6.6,0.5,-7.4,9.9
5.11,-3.8,0.2,-8.3,9.2
